chr,loc,cms_score,gene_name
2,160894871,23.0957,"ITGB6,PLA2R1"
7,299450,22.9029,FAM20C
19,33231786,22.687,"ANKRD27,NUDT19,RGS9BP,SLC7A9,TDRD12"
6,52112716,22.3467,"IL17A,IL17F,LINCMD1,MCM3,MIR133B"
5,145778013,22.1664,"POU4F3,TCERG1"
22,37774358,22.1526,"CYTH4,ELFN2,LOC100506271,MFNG"
16,26841292,22.089,
19,33772816,21.8366,"CEBPA,CEBPA-DT,CEBPG,LRP3,SLC7A10"
12,109589024,21.456,"ACACB,ALKBH2,UNG,USP30,USP30-AS1"
7,132886923,21.3855,"EXOC4,LOC105375512,MIR6133"
20,24717867,21.0975,SYNDIG1
16,80053766,20.8858,
12,104362476,20.7427,"C12orf73,GLT8D2,HCFC2,HSP90B1,MIR3652,TDG,TTC41P"
14,35858552,20.6549,"NFKBIA,PSMA6"
2,160058859,20.5648,"MIR6888,TANC1,WDSUB1"
7,132366862,20.5105,"FLJ40288,LOC100506937,PLXNA4"
16,25931923,20.3012,HS3ST4
19,33190285,20.2778,"ANKRD27,NUDT19,RGS9BP,SNORA68B,TDRD12"
12,109603931,20.0465,"ACACB,ALKBH2,UNG,USP30"
7,100692680,19.9416,"LOC102724094,MUC12,MUC17,MUC3A,SERPINE1,TRIM56"
5,22461671,19.8584,CDH12
6,158211568,19.8259,SNX9
6,71343073,19.7825,"FAM135A,SDHAF4,SMAP1"
12,109318833,19.7569,"DAO,MIR619,SSH1,SVOP"
22,44762977,19.7043,"LINC01656,SHISAL1"
12,104415609,19.6817,"C12orf73,GLT8D2,HCFC2,HSP90B1,MIR3652,NFYB,TDG,TTC41P"
15,60250100,19.2139,FOXB1
12,116018801,19.2028,
10,49483894,19.1609,"FRMPD2,MAPK8"
14,103008824,19.0762,"ANKRD9,LINC02323,MIR4309,RCOR1,TECPR2"
2,161351758,19.0488,"MIR4785,RBMS1"
15,60620015,18.8699,"ANXA2,ICE2"
6,52559782,18.8502,"GSTA1,GSTA2,GSTA7P,LOC730101,TMEM14A"
